"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3402","Add/Remove Elements Tests › User should be able to go to the ""Add/Remove Elements"" page","","2026-09-03","passed","2026-09-03","","add-remove-elements.spec.ts","add-remove-elements.spec.ts",""
"","5223","Checkboxes Tests › User should be able to check and uncheck checkboxes","","2026-09-03","passed","2026-09-03","","checkboxes.spec.ts","checkboxes.spec.ts",""
"","3166","AB Test › User should be able to go to the AB test site","","2026-09-03","passed","2026-09-03","","ab-test.spec.ts","ab-test.spec.ts",""
"","7316","Add/Remove Elements Tests › User should be able to add and remove two elements","","2026-09-03","passed","2026-09-03","","add-remove-elements.spec.ts","add-remove-elements.spec.ts",""
"","4339","Dynamic Content tests › The page content is different for every page refresh","","2026-09-03","passed","2026-09-03","","dynamic-content.spec.ts","dynamic-content.spec.ts",""
"","4138","After scrolling down the floating menu is still visible","","2026-09-03","passed","2026-09-03","","floating-menu.spec.ts","floating-menu.spec.ts",""
"","4440","User should be able drag and drop card a to card b","","2026-09-03","passed","2026-09-03","","drag-and-drop.spec.ts","drag-and-drop.spec.ts",""
"","17948","File Downloader Tests › User should be able to download a file","","2026-09-03","passed","2026-09-03","","file-downloader.spec.ts","file-downloader.spec.ts",""
"","3292","Challenging Dom Tests › The table contains specific data","","2026-09-03","passed","2026-09-03","","challenging-dom.spec.ts","challenging-dom.spec.ts",""
"","4105","User should be able to close Ad modal","","2026-09-03","passed","2026-09-03","","entry-ad.spec.ts","entry-ad.spec.ts",""
"","6390","Error message should be shown after providing invalid password","","2026-09-03","passed","2026-09-03","","form-authentication.spec.ts","form-authentication.spec.ts",""
"","4011","Inputs Test › User should be able to fill input with numbers","","2026-09-03","passed","2026-09-03","","input.spec.ts","input.spec.ts",""
"","10504","The reset password message is sent after forgot password request","","2026-09-03","passed","2026-09-03","","forgot-password.spec.ts","forgot-password.spec.ts",""
"","5057","Dropdown Tests › User is able to select dropdown options","","2026-09-03","passed","2026-09-03","","dropdown.spec.ts","dropdown.spec.ts",""
"","6415","Error message should be shown after providing invalid username","","2026-09-03","passed","2026-09-03","","form-authentication.spec.ts","form-authentication.spec.ts",""
"","2881","The modal should shown on mouse leaving the viewport","","2026-09-03","passed","2026-09-03","","exit-intent.spec.ts","exit-intent.spec.ts",""
"","5513","Add/Remove Elements Tests › User should be able to add and remove one element","","2026-09-03","passed","2026-09-03","","add-remove-elements.spec.ts","add-remove-elements.spec.ts",""
"","4253","DisappearingElements Tests › User is redirected to ""Not found"" page after clicking ""Portfolio"" link","","2026-09-03","passed","2026-09-03","","disappearing-elements.spec.ts","disappearing-elements.spec.ts",""
"","16399","DisappearingElements Tests › The ""Gallery"" link shows and dissapears randomly","","2026-09-03","passed","2026-09-03","","disappearing-elements.spec.ts","disappearing-elements.spec.ts",""
"","4190","DisappearingElements Tests › User is redirected to home page after clicking ""Home"" link","","2026-09-03","passed","2026-09-03","","disappearing-elements.spec.ts","disappearing-elements.spec.ts",""
"","6477","User should succefully login after providing proper username and password","","2026-09-03","passed","2026-09-03","","form-authentication.spec.ts","form-authentication.spec.ts",""
"","2992","Upload files Tests › User is able to upload file using drag and drop area","","2026-09-03","passed","2026-09-03","","file-uploader.spec.ts","file-uploader.spec.ts",""
"","3183","Should be able to access all nested frames and verify hierarchy","","2026-09-03","passed","2026-09-03","","frames.spec.ts","frames.spec.ts",""
"","4257","DisappearingElements Tests › User is redirected to ""Not found"" page after clicking ""About"" link","","2026-09-03","passed","2026-09-03","","disappearing-elements.spec.ts","disappearing-elements.spec.ts",""
"","4117","Inputs Test › User should not be able to fill input with alphabet characters","","2026-09-03","passed","2026-09-03","","input.spec.ts","input.spec.ts",""
"","4279","DisappearingElements Tests › User is redirected to ""Not found"" page after clicking ""Contact us"" link","","2026-09-03","passed","2026-09-03","","disappearing-elements.spec.ts","disappearing-elements.spec.ts",""
"","3382","Challenging Dom Tests › 3 buttons with names changing randomly are visible","","2026-09-03","passed","2026-09-03","","challenging-dom.spec.ts","challenging-dom.spec.ts",""
"","4120","Should access and show users geolocation","","2026-09-03","passed","2026-09-03","","geolocation.spec.ts","geolocation.spec.ts",""
"","5510","Upload files Tests › User is able to upload file with ""Choose file"" button","","2026-09-03","passed","2026-09-03","","file-uploader.spec.ts","file-uploader.spec.ts",""
"","3261","Broken Images Tests › The github link and avatar images have proper source","","2026-09-03","passed","2026-09-03","","broken-images.spec.ts","broken-images.spec.ts",""
"","3377","Broken Images Tests › The second and third image on the page are broken","","2026-09-03","passed","2026-09-03","","broken-images.spec.ts","broken-images.spec.ts",""
"","5568","Context Menu Tests › User should be able to see context menu alert","","2026-09-03","passed","2026-09-03","","context-menu.spec.ts","context-menu.spec.ts",""
"","6290","Should be able to change slider value","","2026-09-03","passed","2026-09-03","","horizontal-slider.spec.ts","horizontal-slider.spec.ts",""
"","5405","Dynamic Content tests › The first to rows of page are the same with static content param","","2026-09-03","passed","2026-09-03","","dynamic-content.spec.ts","dynamic-content.spec.ts",""
