"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Nov 08 13:35:49 GMT 2024","Fri Nov 08 13:35:50 GMT 2024","436","","disappearing-elements.spec.ts","","disappearing-elements.spec.ts","","DisappearingElements Tests › User is redirected to home page after clicking ""Home"" link",""
"failed","Fri Nov 08 13:35:49 GMT 2024","Fri Nov 08 13:35:52 GMT 2024","2690","","ab-test.spec.ts","","ab-test.spec.ts","","AB Test › User should be able to go to the AB test site",""
"failed","Fri Nov 08 13:35:49 GMT 2024","Fri Nov 08 13:35:50 GMT 2024","578","","dynamic-content.spec.ts","","dynamic-content.spec.ts","","Dynamic Content tests › The first to rows of page are the same with static content param",""
"failed","Fri Nov 08 13:35:49 GMT 2024","Fri Nov 08 13:35:50 GMT 2024","244","","dynamic-content.spec.ts","","dynamic-content.spec.ts","","Dynamic Content tests › The page content is different for every page refresh",""
"failed","Fri Nov 08 13:35:49 GMT 2024","Fri Nov 08 13:35:50 GMT 2024","142","","frames.spec.ts","","frames.spec.ts","","Should be able to access all nested frames and verify hierarchy",""
"failed","Fri Nov 08 13:35:49 GMT 2024","Fri Nov 08 13:35:50 GMT 2024","137","","input.spec.ts","","input.spec.ts","","Inputs Test › User should not be able to fill input with alphabet characters",""
"failed","Fri Nov 08 13:35:49 GMT 2024","Fri Nov 08 13:35:50 GMT 2024","137","","broken-images.spec.ts","","broken-images.spec.ts","","Broken Images Tests › The second and third image on the page are broken",""
"failed","Fri Nov 08 13:35:49 GMT 2024","Fri Nov 08 13:35:50 GMT 2024","608","","file-downloader.spec.ts","","file-downloader.spec.ts","","User should be able to download a file",""
"failed","Fri Nov 08 13:35:49 GMT 2024","Fri Nov 08 13:35:50 GMT 2024","236","","exit-intent.spec.ts","","exit-intent.spec.ts","","The modal should shown on mouse leaving the viewport",""
"failed","Fri Nov 08 13:35:49 GMT 2024","Fri Nov 08 13:35:50 GMT 2024","425","","file-uploader.spec.ts","","file-uploader.spec.ts","","Upload files Tests › User is able to upload file using drag and drop area",""
"failed","Fri Nov 08 13:35:49 GMT 2024","Fri Nov 08 13:35:50 GMT 2024","604","","context-menu.spec.ts","","context-menu.spec.ts","","Context Menu Tests › User should be able to see context menu alert",""
"failed","Fri Nov 08 13:35:49 GMT 2024","Fri Nov 08 13:35:50 GMT 2024","389","","form-authentication.spec.ts","","form-authentication.spec.ts","","Error message should be shown after providing invalid password",""
"failed","Fri Nov 08 13:35:49 GMT 2024","Fri Nov 08 13:35:50 GMT 2024","416","","input.spec.ts","","input.spec.ts","","Inputs Test › User should be able to fill input with numbers",""
